"","Row.names","meanPropChange","mean.r","mean.o","meanDiff","sdDiff","medianPropChange","median.r","median.o","medianDiff","nTrue","nValid","modelN","modelEstimate","MLM95lb","MLM95ub","simNum","propNull","propAttenuation","squaredError","absoluteError"
"2535","BF01Below3",-0.830129945143802,0.0287603935912194,0.4919341846844,-0.463173791093181,0.427182502435178,-0.868265457664005,0.0329336355839987,0.400059650056057,-0.412321580133955,41,306,41,-0.389736358673793,-0.577126775538941,-0.202345941808645,58,1,0.5,0.10898578068065,0.330129945143802
"2536","bf10SimAbove3",-0.451353891592679,0.0769937542884768,0.3982614496616,-0.321267695373123,0.39480274468771,-0.852215549004863,0.0768479145174713,0.223656109021832,-0.287155271147052,7,306,7,-0.331038575830044,-0.810095574775862,0.148018423115774,58,1,0.5,0.00236644386317679,0.0486461084073206
"2537","BF0PBelow3",-0.492969829458452,0.15776482805634,0.496272428137676,-0.338507600081336,0.297217199054738,-0.661129172399278,0.100668489479687,0.462187795505302,-0.238280479166433,37,306,37,-0.233672754764847,-0.306847118196309,-0.160498391333385,58,1,0.5,4.94232978432466e-05,0.00703017054154781
"2538","BFP0Above3",0.204418472008613,0.218568394159527,0.407900797039253,-0.189332402879726,0.228903592561927,-0.567472502145079,0.0967374172151806,0.52,-0.126918691806652,5,306,5,-0.195771624962894,-0.412197852750113,0.0206546028243257,58,1,0.5,0.496205383706949,0.704418472008613
"2539","Overall",-0.564357339365274,0.186894625299409,0.404449028552332,-0.217554403252923,0.263746044618951,-0.709352167798963,0.0774685323696646,0.342828254415394,-0.182248379222257,314,314,305,-0.200206163270549,-0.241780147259895,-0.158632179281204,59,0.5,0.1,0.215627738622397,0.464357339365274
"2540","StatisticalSignificance",-0.0465667769889127,0.391330861096849,0.422113022921154,-0.0307821618243053,0.137801269947423,-0.0842551222211341,0.335466553140334,0.337237681560263,-0.0226567631634318,144,309,143,-0.0180894847595977,-0.0363238849313675,0.000144915412172052,59,0.5,0.1,0.00285510932135259,0.0534332230110873
"2541","Nonequivalence",-0.192996423313802,0.33701925209354,0.423797380547663,-0.0867781284541228,0.188011966754868,-0.139512795144934,0.280783897920483,0.350393653256531,-0.0536423158998733,178,305,178,-0.0560181810181301,-0.0992637103911649,-0.0127726516450953,59,0.5,0.1,0.00864833474915986,0.092996423313802
"2542","bf0repSimBelow3",-0.118333061776199,0.359506011563908,0.412531510011664,-0.0530254984477559,0.156973782890181,-0.120249278507966,0.283603808617137,0.331647108705132,-0.0346678410020701,128,267,128,-0.0234997920483616,-0.0411207133622703,-0.0058788707344529,59,0.5,0.1,0.000336101154089932,0.0183330617761991
"2543","bfrep0SimAbove3",-0.018830880346923,0.40697610546366,0.418701043962703,-0.0117249384990429,0.116267106992955,-0.0549456432571572,0.337567699384364,0.326096259003539,-0.0149060450276465,104,267,104,-0.00937631258933973,-0.0252152608301651,0.0064626356514856,59,0.5,0.1,0.00658842598525553,0.081169119653077
"2544","BF01Below3",-0.212036200212505,0.345073556874583,0.432611483594911,-0.0875379267203277,0.241750969223257,-0.119754647542544,0.301091278490375,0.356099200575972,-0.0387881410314023,164,306,164,-0.0488400311864231,-0.0751944917564394,-0.0224855706164069,59,0.5,0.1,0.0125521101580565,0.112036200212505
"2545","bf10SimAbove3",-0.095832704526869,0.396852957975433,0.421533874931009,-0.024680916955576,0.154289300653933,-0.0617346046073034,0.347545045042887,0.342828254415394,-0.0188447641752753,128,306,128,-0.0174498133895753,-0.0371539069914211,0.00225428021227046,59,0.5,0.1,1.73663515603781e-05,0.00416729547313099
"2546","BF0PBelow3",-0.0987192664314224,0.373413204505824,0.435856449689862,-0.0624432451840379,0.184616017101307,-0.110649108872313,0.308717655038363,0.358977418835944,-0.0326341492641952,160,305,160,-0.0253247268100642,-0.0436365031080639,-0.00701295051206443,59,0.5,0.1,1.64027847368164e-06,0.00128073356857765
"2547","BFP0Above3",0.0044403698594494,0.420607547161608,0.42900862821101,-0.0084010810494011,0.108260633032333,-0.0516484744502499,0.351952765776667,0.357046264481122,-0.0158703290020272,125,305,125,-0.00246910908593902,-0.0265840820062461,0.021645863834368,59,0.5,0.1,0.0109077908563786,0.104440369859449
"2548","Overall",-0.759647665968102,0.103011634620229,0.404449028552332,-0.301437393932104,0.220597421912227,-0.74946185657777,0.0751221437325565,0.342828254415394,-0.25601127341517,314,314,305,-0.282767091748226,-0.333822299512802,-0.231711883983651,60,0.4,0.6,0.0254873772490626,0.159647665968102
"2549","StatisticalSignificance",-0.490967288375023,0.200284207763298,0.426569218218788,-0.226285010455491,0.165532656006004,-0.560460960946869,0.158779420669576,0.365443754271396,-0.204927039333777,137,308,137,-0.209505008553107,-0.244523285545898,-0.174486731560317,60,0.4,0.6,0.0118881322042955,0.109032711624977
"2550","Nonequivalence",-0.551835412280747,0.181531442412529,0.434577299761308,-0.253045857348778,0.19772215767057,-0.577669540747714,0.1510300540404,0.362314568656241,-0.211242505040803,169,305,169,-0.244737275395586,-0.292827758285751,-0.196646792505421,60,0.4,0.6,0.00231982751016561,0.0481645877192529
"2551","bf0repSimBelow3",-0.547237590987998,0.209880939465862,0.428770621120577,-0.218889681654715,0.159928161275055,-0.544434081891396,0.160964276777135,0.365443754271396,-0.196013897737142,122,275,122,-0.164855442829317,-0.190780299095615,-0.138930586563019,60,0.4,0.6,0.00278387180474977,0.0527624090120018
"2552","bfrep0SimAbove3",-0.519071407463561,0.226023562567952,0.416368534681254,-0.190344972113302,0.149982280478903,-0.515610328567452,0.171968153892044,0.354092528962243,-0.185215936353164,75,275,75,-0.152312063393974,-0.192159711070541,-0.112464415717406,60,0.4,0.6,0.00654943708992894,0.0809285925364388
"2553","BF01Below3",-0.555642553860801,0.200892039989796,0.461959242447543,-0.261067202457747,0.215840431539497,-0.561417988229865,0.168121007741829,0.389211549859148,-0.217666165256618,150,306,150,-0.22243395656345,-0.256685212921804,-0.188182700205095,60,0.4,0.6,0.00196758302799194,0.044357446139199
"2554","bf10SimAbove3",-0.553037428097958,0.205320972305796,0.442156228320853,-0.236835256015056,0.17554918750938,-0.563915418204073,0.159441624041221,0.370756877135698,-0.212448786139733,98,306,98,-0.221399391971022,-0.26369927962748,-0.179099504314564,60,0.4,0.6,0.0022054831596545,0.0469625719020423
